1339283,姑娘果（灯笼果）,1187,水果,1211,其他类,5.0,10.0,7.5,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339282,沙果,1187,水果,1211,其他类,2.0,2.5,2.25,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339281,鸭梨,1187,水果,,梨类,1.8,2.2,2.0,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339280,雪花梨,1187,水果,,梨类,1.8,2.2,2.0,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339279,皇冠梨,1187,水果,,梨类,3.0,3.2,3.1,,纸箱,斤,2022-09-27 00:00:00,,138,,admin,,,
1339278,七月红,1187,水果,,梨类,2.2,2.5,2.35,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339277,南果梨,1187,水果,,梨类,2.0,5.0,3.5,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339276,丰水梨,1187,水果,,梨类,3.5,3.8,3.65,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339275,红酥梨,1187,水果,,梨类,2.2,2.8,2.5,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339274,库尔勒香梨,1187,水果,,梨类,5.5,6.5,6.0,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339273,红啤梨,1187,水果,,梨类,3.5,4.0,3.75,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339272,京白梨,1187,水果,,梨类,2.0,2.6,2.3,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339271,贵妃梨,1187,水果,,梨类,1.6,2.0,1.8,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339270,蜜桔,1187,水果,,柑橘类,1.8,3.0,2.4,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339269,蜜柚,1187,水果,,柑橘类,1.6,2.4,2.0,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339268,红心蜜柚,1187,水果,,柑橘类,2.0,3.4,2.7,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339267,油桃,1187,水果,,桃李杏类,4.5,5.5,5.0,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339266,蟠桃,1187,水果,,桃李杏类,2.5,4.0,3.25,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339265,水蜜桃,1187,水果,,桃李杏类,4.0,9.0,6.5,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339264,青州蜜桃,1187,水果,,桃李杏类,2.2,3.2,2.7,,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339383,油豆,1186,蔬菜,,,3.5,5.0,4.25,辽冀,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339382,毛豆,1186,蔬菜,,,3.8,4.6,4.2,川云,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339381,玉米,1186,蔬菜,,,1.4,1.8,1.6,冀,黏\甜,斤,2022-09-27 00:00:00,,138,,admin,,,
1339380,花生,1186,蔬菜,,,2.5,4.0,3.25,冀粤苏,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339379,苦瓜,1186,蔬菜,,,1.0,2.0,1.5,冀鲁,,斤,2022-09-27 00:00:00,,138,,admin,,,
1339378,丝瓜,1186,蔬菜,,,1.5,4.0,2.75,冀鲁,长\短,斤,2022-09-27 00:00:00,,138,,admin,,,
1339377,西葫芦,1186,蔬菜,,,0.8,1.5,1.15,冀蒙晋,袋\箱,斤,2022-09-27 00:00:00,,138,,admin,,,
